item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
53,RecentTaxFraudControversies,Recent Tax Fraud Controversies,"Number of controversies linked to tax fraud, parallel imports or money laundering published since the last fiscal year company update. - any fraudulent activities where the company tries to escape from paying taxes - companies sued for not following tax laws of that particular country",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
54,TaxFraudControversies,Tax Fraud Controversies,"Number of controversies published in the media linked to tax fraud, parallel imports or money laundering. - any fraudulent activities where the company tries to escape from paying taxes - companies sued for not following tax laws of that particular country",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
55,WhistleblowerProtection,Whistleblower Protection,Does the company have a provision or comply with regulations protecting whistleblowers? - practice to be on the protection of whistleblowers against any retaliation or reprisal  - information on protecting employees reporting about breaches on illegal activity,1,1,3,1,Y/N,Positive,TRESG,6,12,2,Y,Y,Y
56,AntiCompetitionControversies,Anti-competition Controversies,"Is the company under the spotlight of the media because of a controversy linked to anti-competitive behaviour (e.g., anti-trust and monopoly), price-fixing or kickbacks?",1,1,4,2,Y/N,Negative,,6,12,,N,N,N
57,BriberyCorruptionFraudControversies,"Bribery, Corruption and Fraud Controversies","Is the company under the spotlight of the media because of a controversy linked to bribery and corruption, political contributions, improper lobbying, money laundering, parallel imports or any tax fraud?",1,1,4,2,Y/N,Negative,,6,12,2,N,N,N
58,TotalDonationsToRevenues,Total Donations To Revenues in million,Total amount of all donations divided by net sales or revenue in million.,3,1,4,2,(Local Reporting Currency/ Local Revenue) * 1000000,Positive,TRESG,6,12,,Y,N,N
59,CsrSustainabilityCommittee,CSR Sustainability Committee,Does the company have a CSR committee or team? - board level or Senior management committee responsible for decision making on CSR strategy,1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
60,CsrSustainabilityExternalAudit,CSR Sustainability External Audit,"Does the company have an external auditor of its CSR/H&S/Sustainability report? - in scope are the data on external audit of the companys CSR data or extra financial report is considered - consider an audit in the form of a review done by a university, academic, expert, external panel or a research center - web-based CSR reports that are externally audited  - integrated annual report having external audit statements for its environmental and social data",1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
61,CsrSustainabilityExternalAuditorName,CSR Sustainability External Auditor Name,"The name of the external auditor of the sustainability report. - name of the audit firm or independent person who endorses the extra-financial audit statement  - name of the body reviewed such as university, academic, expert, external panel or a research center - auditor statement on web-based extra financial or sustainability report with the name - integrated annual report having which has audit statements on its environmental and social aspects and audit firm name - data on partial CSR data verified by an external auditor (ex. emission/ employee health and safety/energy)",6,4,5,1,Name,Not applicable,,5,16,,N,Y,Y
62,CsrSustainabilityReportGlobalActivities,CSR Sustainability Report Global Activities,"Does the company's extra-financial report take into account the global activities of the company? - when the companys extra financial report covers the global activities of the company, we qualify the data as True  - if the extra financial report coverage is 50% or more then the answer True else the answer is ""False""  - if the scope is not provided, we determine using the details from the order below as follows:   (1) percentage of employees covered;   (2) percentage of revenue covered; or   (3) percentage of operations covered",1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
63,CsrSustainabilityReporting,CSR Sustainability Reporting,"Does the company publish a separate CSR/H&S/Sustainability report or publish a section in its annual report on CSR/H&S/Sustainability? - any separate extra-financial report in which the company reports on the environmental and social impact of its operations  - when the company publishes an extra financial report in a foreign language we answer as True with a comment  - web-based non-financial reports are also considered if data is updated yearly  - integrated annual report with sustainability data is qualified information - CSR section from the annual report must consist of substantial data - exceptionally, if company report quantitative data exclusively in less than 5 pages can also be considered - CSR reports published bi-annually, current year when there is no report then data measure is answered False  - data only on community-focused report with community-related activities of the company, answer is False",1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
64,ESGPeriodLastUpdateDate,ESG Period Last Update Date,The last update date for one or more ESG metrics for the period.,2,4,5,1,Date,Not applicable,,5,16,,N,Y,Y
65,ESGReportingScope,ESG Reporting Scope,"The percentage of the companys activities covered in its Environmental and Social reporting. - take scope as reported by the company - data on the percentage of the companys activities covered in its environmental and social reporting  - if extra financial reporting covers all of the company's global activities, then the scope is 100%  - if the scope is not provided, we need to determine using the priority order as follows:   (1) percentage of employees covered;   (2) percentage of revenue covered; or   (3) percentage of operations covered - when we have 2 different scopes relating to social and environmental coverage, consider the lowest value",3,4,5,1,Percentage,Positive,,5,16,,N,Y,Y
66,GlobalCompactSignatory,Global Compact Signatory,"Has the company signed the UN Global Compact? - has the company singed the 'United Nations Global Compact' which is a non-binding united nations pact to encourage businesses worldwide to adopt sustainable and socially responsible policies, and to report on their implementation",1,4,5,1,Y/N,Positive,TRESG,5,16,3,Y,N,Y
67,GriReportGuidelines,GRI Report Guidelines,Is the company's CSR report published in accordance with the GRI guidelines? - in focus on CSR report or data published with in the framework or guidelines of GRI(global reporting initiative) principles,1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
