type_,code,desc_
1,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
1,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
1,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
1,423830,Industrial Machinery and Equipment Merchant Wholesalers
1,423840,Industrial Supplies Merchant Wholesalers
1,722330,Mobile Food Services
1,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
1,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
1,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
1,423930,Recyclable Material Merchant Wholesalers
1,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
1,424110,Printing and Writing Paper Merchant Wholesalers
1,424120,Stationery and Office Supplies Merchant Wholesalers
1,424130,Industrial and Personal Service Paper Merchant Wholesalers
1,424210,Drugs and Druggists' Sundries Merchant Wholesalers
1,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
1,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
1,424340,Footwear Merchant Wholesalers
1,424410,General Line Grocery Merchant Wholesalers
1,424420,Packaged Frozen Food Merchant Wholesalers
1,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
1,424440,Poultry and Poultry Product Merchant Wholesalers
1,424450,Confectionery Merchant Wholesalers
1,424460,Fish and Seafood Merchant Wholesalers
1,424470,Meat and Meat Product Merchant Wholesalers
1,424480,Fresh Fruit and Vegetable Merchant Wholesalers
1,424490,Other Grocery and Related Products Merchant Wholesalers
1,424510,Grain and Field Bean Merchant Wholesalers
1,424520,Livestock Merchant Wholesalers
1,424590,Other Farm Product Raw Material Merchant Wholesalers
1,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1,424690,Other Chemical and Allied Products Merchant Wholesalers
1,424710,Petroleum Bulk Stations and Terminals
1,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1,424810,Beer and Ale Merchant Wholesalers
1,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1,424910,Farm Supplies Merchant Wholesalers
1,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
1,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
1,424940,Tobacco and Tobacco Product Merchant Wholesalers
1,424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
1,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
1,425110,Business to Business Electronic Markets
1,441110,New Car Dealers
1,441120,Used Car Dealers
1,441210,Recreational Vehicle Dealers
1,441221,
1,441222,Boat Dealers
1,441310,Automotive Parts and Accessories Stores
1,441320,Tire Dealers
1,442110,Furniture Stores
1,442210,Floor Covering Stores
1,442299,All Other Home Furnishings Stores
1,443111,
1,443112,
1,443120,
1,444110,Home Centers
